price_per_sqft,location,num_res_price_lv_3,num_res_price_lv_4,Starbucks,Whole Foods,Movie Theater,Equinox
125.90376803615771,"(40.7528774, -73.8211834)",0,0,0,0,0,0
1429.4478527607362,"(40.711969, -73.9649468)",0,0,0,0,2,0
364.4376899696049,"(40.5159256, -74.2361135)",0,0,0,0,0,0
229.28267278087128,"(40.852813, -73.9176871)",0,0,0,0,0,0
671.875,"(40.614446, -73.9795824)",0,0,0,0,0,0
520.3252032520326,"(40.688312, -73.856322)",0,0,0,0,0,0
91.52059356519246,"(40.8260352, -73.9256625)",0,0,1,0,2,0
168.93996511033527,"(40.753455, -73.8209077)",0,0,0,0,0,0
439.3463230672533,"(40.6847504, -73.8027331)",0,0,0,0,0,0
1770.8333333333333,"(40.725464, -73.9999212)",2,0,4,0,2,3
377.71130410847314,"(40.768457, -73.789417)",0,0,1,0,0,0
393.0704898446834,"(40.6315346, -74.0856344)",0,0,0,0,0,0
584.8684210526316,"(40.6233188, -74.1259917)",0,0,0,0,0,0
352.07271861747375,"(40.6868333, -73.8309133)",0,0,0,0,0,0
473.18611987381706,"(40.6042861, -74.0012526)",0,0,1,0,0,0
245.0,"(40.6481488, -74.0847983)",1,0,0,0,0,0
729.8284045271997,"(40.6281691, -74.0297598)",0,0,1,0,0,0
2500.0,"(40.7199716, -73.9980266)",3,0,3,0,2,2
1302.2888713496448,"(40.6866098, -73.9997131)",0,0,0,0,1,0
410.72826938136257,"(40.5016233, -74.2417531)",0,0,0,0,0,0
416.1666666666667,"(40.6175, -74.103996)",0,0,0,0,0,0
416.1666666666667,"(40.618648, -74.1019085)",0,0,0,0,0,0
1613.7295081967213,"(40.6754035, -73.9742051)",0,0,1,0,0,0
388.69926931890143,"(40.7802357, -73.9846328)",1,0,2,0,1,2
699.375,"(40.5751942, -73.9669983)",1,0,0,0,0,0
898.2035928143713,"(40.7643711, -73.9593578)",0,0,5,0,0,1
1846.45286686103,"(40.7193408, -73.9856438)",0,0,1,0,1,1
1040.7993338884264,"(40.6400234, -73.9676099)",0,0,0,0,0,0
1180.2030456852792,"(40.6787789, -73.9643728)",0,0,0,0,0,0
90.65071298603355,"(40.700309, -73.8535466)",0,0,0,0,0,0
442.77714285714285,"(40.5632116, -74.1002521)",0,0,0,0,0,0
393.9153439153439,"(40.5395319, -74.1450877)",0,0,0,0,0,0
4276.315789473684,"(40.7765613, -73.9633167)",5,0,2,0,0,0
1128.8039631988677,"(40.6915139, -73.935444)",0,0,0,0,0,0
1128.8039631988677,"(40.6915139, -73.935444)",0,0,0,0,0,0
1128.8039631988677,"(40.6915139, -73.935444)",0,0,0,0,0,0
1128.8039631988677,"(40.6915139, -73.935444)",0,0,0,0,0,0
1053.8116591928251,"(40.6915139, -73.935444)",0,0,0,0,0,0
1053.8116591928251,"(40.6915139, -73.935444)",0,0,0,0,0,0
1053.8116591928251,"(40.6915139, -73.935444)",0,0,0,0,0,0
1053.8116591928251,"(40.6915139, -73.935444)",0,0,0,0,0,0
815.6911581569116,"(40.6967268, -73.9074036)",0,0,1,0,0,0
1225.531914893617,"(40.7832094, -73.7967588)",0,0,0,0,0,0
371.16279069767444,"(40.5874844, -74.0701056)",0,0,0,0,0,0
771.4467241488209,"(40.7083434, -73.9081614)",0,0,0,0,0,0
6901.157613535173,"(40.764953, -73.977568)",5,2,6,0,2,0
1167.471303608008,"(40.5785288, -73.9655666)",1,0,1,0,0,0
54.4819941683737,"(40.8841699, -73.8388387)",0,0,0,0,0,0
123.15677673355063,"(40.6534433, -73.741373)",0,0,0,0,0,0
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
