,location,Starbucks,Whole Foods,Movie Theater,Equinox
123,"(40.5387812, -74.193378)",0,0,0,0
124,"(40.8246371, -73.8072061)",0,0,0,0
125,"(40.5143019, -74.2044734)",0,0,0,0
126,"(40.7143354, -74.0087443)",12,1,0,2
127,"(40.6109595, -74.060351)",0,0,0,0
128,"(40.7881763, -73.7877051)",0,0,0,0
129,"(40.6366859, -73.9488175)",1,0,0,0
130,"(40.7702318, -73.9610161)",3,0,0,1
131,"(40.8822913, -73.9137305)",1,0,0,0
132,"(40.8224987, -73.8111568)",0,0,0,0
133,"(40.755049, -73.9136386)",1,0,0,0
134,"(40.824015, -73.9502067)",1,0,0,0
135,"(40.7566899, -73.72075)",0,0,1,0
136,"(40.7302938, -73.8059248)",0,0,0,0
137,"(40.8663864, -73.8878945)",0,0,0,0
138,"(40.8176549, -73.8197053)",0,0,0,0
139,"(40.7832598, -73.976047)",3,0,4,2
140,"(40.574451, -74.0929448)",0,0,0,0
141,"(40.7616, -73.9761913)",10,0,2,2
142,"(40.8454501, -73.8209766)",0,0,0,0
143,"(40.7905714, -73.9753392)",2,1,1,1
144,"(40.5731273, -74.089182)",0,0,0,0
145,"(40.5595612, -73.9147409)",0,0,0,0
146,"(40.8423705, -73.9234444)",0,0,0,0
147,"(40.6590909, -73.8451972)",0,0,0,0
148,"(40.688533, -73.796529)",0,0,0,0
149,"(40.688533, -73.796529)",0,0,0,0
150,"(40.5950021, -73.7577376)",0,0,0,0
151,"(40.5997081, -73.9344974)",0,0,0,0
152,"(40.7986579, -73.9679035)",1,0,1,0
153,"(40.6968706, -73.7390395)",0,0,0,0
154,"(40.5397292, -74.2155251)",0,0,0,0
155,"(40.5302132, -74.1981906)",1,0,0,0
156,"(40.5805262, -74.0061062)",0,0,0,0
157,"(40.7577991, -73.7159564)",0,0,1,0
158,"(40.57372, -73.8577786)",0,0,0,0
159,"(40.7336687, -74.000518)",2,0,2,2
160,"(40.657686, -73.8489131)",0,0,0,0
161,"(40.7086444, -74.0161953)",3,1,0,2
162,"(40.6948972, -73.9925741)",4,0,0,1
163,"(40.5861193, -74.1075476)",1,0,0,0
164,"(40.7780417, -73.7739629)",1,0,1,0
165,"(40.8229141, -73.9460622)",2,0,0,0
166,"(40.7887084, -73.9700091)",2,1,0,1
167,"(40.6291962, -74.1518654)",0,0,0,0
168,"(40.610206, -73.91065)",0,0,0,0
169,"(40.5273247, -74.1983282)",1,0,0,0
170,"(40.760703, -73.880887)",0,0,1,0
171,"(40.6674938, -73.9832146)",2,0,0,0
172,"(40.765022, -73.7422005)",0,0,0,0
173,"(40.8159966, -73.8881001)",0,0,0,0
174,"(40.7679673, -73.8246067)",0,0,0,0
175,"(40.515251, -74.235145)",0,0,0,0
176,"(40.6296431, -74.1005274)",1,0,0,0
177,"(40.6164182, -74.0142443)",0,0,0,0
178,"(40.551184, -74.1840649)",0,0,0,0
179,"(40.677393, -73.800094)",0,0,0,0
180,"(40.7668312, -73.7911175)",1,0,0,0
181,"(40.7164224, -74.0101197)",7,1,3,2
182,"(40.7600248, -73.9653546)",8,1,3,4
183,"(40.5788586, -74.11209)",0,0,0,0
184,"(40.7127599, -73.83433)",1,0,0,0
185,"(40.8679701, -73.836565)",0,0,0,0
186,"(40.6090909, -73.9762651)",0,0,0,0
187,"(40.8130775, -73.8063357)",0,0,0,0
188,"(40.7120703, -73.9983258)",1,0,0,0
189,"(40.7697773, -73.9014478)",0,0,0,0
190,"(40.7758194, -73.9785263)",4,0,2,1
191,"(40.686947, -73.9261885)",0,0,0,0
192,"(40.7107701, -73.8406935)",0,0,0,0
193,"(40.6965326, -73.9839654)",4,0,0,0
194,"(40.673976, -73.973535)",1,0,0,0
195,"(40.6137764, -74.1600305)",0,0,0,0
196,"(40.5803331, -74.0885167)",0,0,0,0
197,"(40.5993523, -74.0953882)",0,0,0,0
198,"(40.6222734, -73.924094)",0,0,0,0
199,"(40.7252187, -73.9929764)",2,1,4,3
200,"(40.6738566, -73.9506085)",0,1,0,0
201,"(40.574103, -74.0931668)",0,0,0,0
202,"(40.737308, -74.0046666)",5,0,0,2
203,"(40.5273093, -74.1753435)",0,0,0,0
204,"(40.6898164, -73.9062474)",0,0,0,0
205,"(40.8968048, -73.9087471)",0,0,0,0
206,"(40.7651716, -73.9678719)",7,0,4,2
207,"(40.8109146, -73.853921)",0,0,0,0
208,"(40.5866482, -73.9845156)",0,0,0,0
209,"(40.621814, -74.1406264)",1,0,0,0
210,"(40.7381853, -73.8581248)",0,0,0,0
211,"(40.764989, -73.9655331)",5,0,4,2
212,"(40.784623, -73.9826586)",2,0,2,2
213,"(40.583514, -73.9738903)",0,0,0,0
214,"(40.7651716, -73.9678719)",7,0,4,2
215,"(40.8109146, -73.853921)",0,0,0,0
216,"(40.8968048, -73.9087471)",0,0,0,0
217,"(40.7381853, -73.8581248)",0,0,0,0
218,"(40.583514, -73.9738903)",0,0,0,0
219,"(40.5939378, -74.1843153)",0,0,0,0
220,"(40.7855174, -73.7797613)",0,0,0,0
221,"(40.7455051, -74.0016003)",2,0,0,1
222,"(40.747472, -73.9796788)",9,0,1,1
223,"(40.6351164, -74.0311609)",0,0,0,0
224,"(40.7839299, -73.77643)",1,0,0,0
225,"(40.8451067, -73.8601577)",0,0,0,0
226,"(40.7531191, -73.8818757)",0,0,0,0
227,"(40.5387352, -74.1423893)",0,0,0,0
228,"(40.521278, -74.2230351)",0,0,0,0
229,"(40.5953144, -74.1628286)",0,0,0,0
230,"(40.7186003, -73.8453488)",2,0,2,0
231,"(40.8808173, -73.8350832)",0,0,0,0
232,"(40.7075546, -73.9036964)",0,0,0,0
233,"(40.7824499, -73.7765099)",1,0,1,0
234,"(40.5894827, -73.9395372)",0,0,0,0
235,"(40.7640501, -73.964336)",7,0,3,3
236,"(40.7708195, -73.9595235)",3,0,0,1
237,"(40.7699425, -73.9583558)",4,0,0,1
238,"(40.7050355, -73.8241699)",0,0,0,0
239,"(40.7573479, -73.9614914)",3,1,0,2
240,"(40.5905451, -73.9910402)",0,0,0,0
241,"(40.7157399, -73.83672)",1,0,0,0
242,"(40.8796143, -73.856153)",0,0,0,0
243,"(40.6610456, -73.9019953)",0,0,0,0
244,"(40.7917785, -73.9406204)",0,0,0,0
245,"(40.6123868, -74.1511288)",0,0,0,0
246,"(40.6166867, -74.1576647)",0,0,0,0
247,"(40.7047878, -73.8344551)",0,0,0,0
248,"(40.7123992, -73.8339305)",1,0,0,0
249,"(40.6050685, -74.0969483)",0,0,0,0
250,"(40.840459, -73.8542045)",0,0,1,0
251,"(40.8189893, -73.953108)",0,0,0,0
252,"(40.8366623, -73.9239586)",0,0,0,0
253,"(40.8018548, -73.9672877)",0,0,0,0
254,"(40.8028416, -73.9670229)",0,0,0,0
255,"(40.7130136, -73.8230375)",0,0,0,0
256,"(40.756144, -73.8213672)",0,0,0,0
257,"(40.7382884, -73.9851838)",3,0,1,2
258,"(40.7779975, -73.9445342)",1,0,0,0
259,"(40.6779049, -73.733881)",0,0,0,0
260,"(40.5882505, -74.1087291)",1,0,0,0
261,"(40.6683947, -73.9762195)",1,0,0,0
262,"(40.7562792, -73.8758052)",0,0,0,0
263,"(40.6914843, -73.9676428)",1,0,0,0
264,"(40.8236857, -73.8611313)",0,0,0,0
265,"(40.6196386, -73.9707307)",0,0,0,0
266,"(40.6498755, -73.9375091)",0,0,0,0
267,"(40.8362269, -73.8612346)",1,0,0,0
268,"(40.743059, -73.880983)",1,0,0,0
269,"(40.774158, -73.7957477)",0,0,0,0
270,"(40.6949321, -73.9928542)",2,0,0,1
271,"(40.7032697, -73.9088462)",1,0,0,0
272,"(40.8244358, -73.8633737)",0,0,0,0
273,"(40.7598542, -73.9874427)",12,0,9,1
274,"(40.6820924, -73.9393924)",0,0,0,0
275,"(40.6662599, -73.9870141)",3,0,0,0
276,"(40.778004, -73.962547)",1,0,0,1
277,"(40.777244, -73.9868738)",2,0,4,0
278,"(40.7598542, -73.9874427)",12,0,9,1
279,"(40.6820924, -73.9393924)",0,0,0,0
280,"(40.6662599, -73.9870141)",3,0,0,0
281,"(40.6339124, -74.0058434)",0,0,0,0
282,"(40.6083914, -74.0100209)",0,0,0,0
283,"(40.8728082, -73.8469489)",0,0,0,0
284,"(40.6597134, -73.9195979)",0,0,0,0
285,"(40.7282899, -73.8472)",0,0,0,0
286,"(40.751918, -73.9698335)",4,0,0,1
287,"(40.7712538, -73.950858)",3,0,0,0
288,"(40.7645034, -73.9648503)",6,0,3,3
289,"(40.8539526, -73.9345678)",1,0,0,0
290,"(40.5902653, -73.9455056)",0,0,0,0
291,"(40.6360957, -73.9018295)",0,0,0,0
292,"(40.6402659, -74.110402)",0,0,0,0
293,"(40.5813374, -73.9589282)",1,0,0,0
294,"(40.5967151, -73.7696424)",0,0,0,0
295,"(40.6468871, -73.8907758)",0,0,0,0
296,"(40.7701914, -73.9590118)",4,0,0,1
297,"(40.7604194, -73.9968086)",2,0,1,0
298,"(40.7078844, -74.0140879)",6,1,1,1
299,"(40.6662035, -73.8525027)",0,0,0,0
300,"(40.7989043, -73.9604812)",0,0,1,0
301,"(40.638069, -74.1627747)",0,0,0,0
302,"(40.700194, -73.8907488)",0,0,0,0
303,"(40.7573949, -73.9606545)",3,0,0,1
304,"(40.5184841, -74.2244185)",0,0,0,0
305,"(40.6828535, -73.8769965)",0,0,0,0
306,"(40.6336127, -73.9276041)",1,0,0,0
307,"(40.5813757, -74.1131912)",0,0,0,0
308,"(40.5065922, -74.2393503)",0,0,0,0
309,"(40.6939582, -73.9943695)",2,0,0,1
310,"(40.8434062, -73.9407947)",2,0,0,0
311,"(40.7464683, -73.9872992)",11,1,0,2
312,"(40.5768936, -74.0048793)",0,0,0,0
313,"(40.611142, -74.0905357)",0,0,0,0
314,"(40.6491203, -73.9440658)",0,0,0,0
315,"(40.6471477, -73.9489423)",0,0,0,0
316,"(40.856444, -73.9377616)",0,0,0,0
317,"(40.8434062, -73.9407947)",2,0,0,0
318,"(40.6372545, -73.9002674)",0,0,0,0
319,"(40.6453011, -73.9723049)",0,0,0,0
320,"(40.5487767, -74.1629254)",0,0,0,0
321,"(40.807426, -73.9535703)",2,0,1,0
322,"(40.7190856, -73.9060914)",0,0,0,0
323,"(40.634316, -73.9462919)",2,0,0,0
324,"(40.8920958, -73.8487361)",0,0,0,0
325,"(40.7449256, -74.0057175)",0,0,0,1
326,"(40.8979269, -73.8463057)",0,0,0,0
327,"(40.7295412, -73.9913066)",3,0,7,1
328,"(40.7687538, -73.9631311)",2,0,0,0
329,"(40.7174584, -74.0038831)",7,0,3,0
330,"(40.7895034, -73.9769713)",1,1,1,1
331,"(40.7804721, -73.9871434)",1,0,0,0
332,"(40.7488879, -73.9723947)",4,0,0,1
333,"(40.8270095, -73.8766285)",0,0,0,0
334,"(40.8333931, -73.8727914)",0,0,0,0
335,"(40.8333931, -73.8727914)",0,0,0,0
336,"(40.7128326, -73.7435779)",0,0,0,0
337,"(40.6962962, -73.9720502)",0,0,0,0
338,"(40.8767388, -73.911189)",2,0,0,0
339,"(40.7708932, -73.9586258)",3,0,0,1
340,"(40.6505528, -73.8316736)",0,0,0,0
341,"(40.7798567, -73.9873973)",1,0,0,0
342,"(40.7299787, -73.7310756)",0,0,0,0
343,"(40.6153952, -74.1610855)",0,0,0,0
344,"(40.6800067, -73.9982111)",0,0,0,0
345,"(40.710456, -73.991235)",0,0,0,0
346,"(40.7607942, -73.8258766)",2,0,0,0
347,"(40.5239722, -74.2213406)",0,0,0,0
348,"(40.7294367, -73.7125595)",1,0,0,0
349,"(40.7945743, -73.9434214)",0,0,0,0
350,"(40.7019014, -73.8256776)",0,0,0,0
351,"(40.7138975, -73.8970229)",0,0,0,0
352,"(40.6165347, -74.1507186)",0,0,0,0
353,"(40.6886004, -73.7568067)",0,0,0,0
